,Schedule,Execute ,Commit
TIA_NOP,2,1,1
TIA_PlusPlus,2,2,1
TIA_MinusMinus,2,3,1
TIA_Add,2,2,1
TIA_Subtract,2,2,1
TIA_LessThan,2,1,1
TIA_GreaterThan,2,1,1
TIA_LessThanEqual,2,1,1
TIA_GreaterThanEqual,2,1,1
TIA_PassThrough,2,1,1
TIA_PassThrough2,2,2,1
TIA_Deq,2,1,1
Multiplier_NOP,2,1,1
Multiplier_Multiply,2,8,1
MemStream_NOP,2,1,1
MemStream_Start,2,2,1
MemStream_Stop,2,2,1
MemStream_Read,2,7,1
MemStream_Write,2,9,1
Fifo_NOP,2,1,1
Fifo_Push,2,3,1
Fifo_Pop,2,5,1
TIA_ShiftRIght,2,2,1
TIA_ShiftLeft,2,2,1
